"Series","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05"
" Total Visitor Arrivals  (Thous)","572.55","574.60","595.19","581.68","596.88","603.94","593.11","588.78","602.25","608.77","571.21","591.88","576.58","575.18","580.20","589.41","624.32","609.15","615.71","629.76","648.48","631.39","643.52","644.86","646.29","644.71","638.14","670.34","662.28","664.36","694.01","678.76","665.46","675.51","682.07","660.85","662.70","669.12","663.94","681.57","663.16","661.55","666.83","650.72","686.50","676.79","667.93","676.11","670.28","675.60","681.16","682.10","693.66","700.10","687.85","698.25","690.31","699.68","714.17","700.50","724.43","721.55","717.31","708.34","710.31","722.52","718.95","734.95","726.48","726.46","722.70","710.28","732.05","736.16","726.55","733.62","750.33","751.41","748.59","757.17","756.76","750.72","741.52","775.29","763.93","765.58","778.64","774.17","786.47","783.09","799.80","801.64","798.61","820.99","823.84","814.65","812.23","813.85","816.29","800.63","806.26","812.37","826.80","814.91","824.70","826.47","864.68","870.55","853.11","870.76","876.87","882.06","828.00","854.39","854.58","875.97","881.80","878.65","397.92","4.69","9.10"
" Domestic Visitor Arrivals  (Thous)","405.28","418.72","434.88","426.46","431.13","439.47","425.84","421.01","429.92","428.49","417.12","432.33","416.18","412.99","417.86","415.44","446.43","432.91","435.72","441.90","447.52","444.01","445.52","445.01","448.41","436.36","427.65","456.30","453.15","454.04","476.62","468.42","463.18","461.40","468.69","452.25","450.75","454.47","447.05","455.34","442.22","430.86","448.82","430.28","460.48","453.55","446.27","454.49","449.69","449.00","456.00","459.08","463.75","467.33","463.06","463.36","468.80","467.22","482.88","478.95","486.88","492.12","481.72","478.03","478.78","488.69","487.36","490.73","493.43","499.18","489.48","480.24","494.81","495.90","492.22","496.70","507.44","506.02","499.98","513.37","507.39","504.97","499.74","525.57","514.93","514.34","524.13","520.73","527.87","530.01","533.56","536.51","551.50","560.10","569.40","564.37","562.47","563.31","565.81","547.66","553.12","567.08","572.48","559.44","569.50","576.82","613.14","614.32","609.98","626.53","626.75","636.34","565.28","599.01","600.53","613.30","623.44","644.33","308.39","4.73","8.80"
" International Visitor Arrivals  (Thous)","169.82","159.98","163.75","154.71","165.37","165.22","166.71","166.12","168.54","177.33","153.04","162.90","163.07","164.75","166.07","171.87","177.10","176.28","179.19","186.98","195.69","196.76","197.18","201.22","198.71","208.87","210.98","210.74","209.70","207.02","216.24","211.00","197.42","211.93","214.78","211.10","214.02","216.43","217.03","225.57","221.90","228.70","219.00","220.30","223.13","221.07","223.39","225.05","223.59","226.62","224.69","223.56","229.48","230.34","226.44","232.91","221.62","230.02","232.44","225.49","241.60","228.67","234.85","231.86","230.51","232.26","231.08","240.47","234.64","236.16","232.48","234.23","239.23","239.14","234.64","235.73","239.63","244.48","244.61","238.05","250.14","244.44","243.78","259.13","251.80","252.51","256.27","254.64","254.72","252.34","261.13","256.98","246.77","261.51","260.24","262.36","253.82","254.48","252.00","254.23","246.89","243.01","246.57","242.83","253.74","251.21","261.01","271.28","247.71","250.51","251.35","248.90","251.37","251.65","245.37","246.57","253.56","236.85","90.81","0.13","0.25"
" US Visitor Arrivals  (Thous)","369.44","378.21","389.64","388.70","394.77","401.47","390.94","382.94","387.79","392.75","376.11","388.49","375.19","372.10","373.96","377.71","406.97","391.50","394.90","399.55","402.71","392.47","399.25","397.46","406.29","395.37","386.38","414.51","413.78","415.09","434.89","420.24","418.90","421.02","423.39","409.50","410.44","414.24","405.44","414.68","401.40","396.93","408.05","389.28","411.04","408.80","400.40","408.85","404.58","409.09","414.98","414.66","422.91","428.29","419.29","425.68","428.40","433.00","441.00","443.94","443.59","444.52","442.43","437.87","435.63","449.23","451.06","460.66","458.92","457.36","460.80","441.15","457.67","460.57","454.64","462.08","476.44","468.10","470.89","488.30","478.42","478.02","471.73","494.05","485.79","486.41","493.32","486.66","502.42","503.67","511.77","516.72","521.59","526.64","530.81","519.98","526.08","531.50","537.91","518.86","529.19","542.07","552.59","540.13","540.09","546.55","570.91","564.96","577.35","587.17","595.69","604.74","547.54","571.63","576.18","596.39","592.44","615.47","295.13","4.38","8.39"
" US East Visitor Arrivals  (Thous)","129.08","137.74","148.10","134.21","135.01","138.06","138.03","139.52","136.38","139.10","137.49","133.53","131.84","132.28","135.76","133.79","141.16","140.40","140.89","139.66","141.86","138.62","139.65","135.31","141.84","148.62","136.43","146.45","140.38","139.56","148.88","142.02","143.41","142.65","140.28","142.60","142.23","140.51","143.92","150.25","141.02","137.86","141.76","135.38","142.14","144.55","143.93","142.95","141.86","139.29","139.24","143.44","144.46","146.50","140.83","143.89","146.51","146.24","145.45","153.61","150.26","151.34","149.37","149.09","145.07","154.38","153.89","158.48","161.84","154.26","156.61","151.95","152.93","152.83","145.33","158.08","170.69","154.73","164.19","169.33","168.12","165.06","161.79","171.13","168.19","171.79","173.68","169.03","168.12","171.16","177.25","175.47","176.85","182.73","185.91","178.43","182.34","181.94","181.37","181.02","182.35","181.34","180.57","178.62","177.50","181.82","190.76","182.49","190.82","194.04","194.35","205.65","181.12","180.98","187.62","197.87","195.27","200.70","101.53","1.43","2.57"
" US West Visitor Arrivals  (Thous)","241.54","241.87","246.49","255.49","257.63","264.95","250.37","241.95","251.17","249.30","237.48","259.73","243.60","239.33","244.30","244.32","263.04","252.25","250.58","259.63","260.72","257.00","259.19","264.31","263.07","245.10","253.25","268.18","271.26","274.65","282.54","279.57","275.96","276.20","284.43","267.22","267.56","273.46","263.38","266.12","259.37","258.39","264.48","254.83","270.42","262.66","258.32","265.17","262.97","269.33","275.47","273.70","277.73","280.22","278.03","281.46","284.63","285.55","296.91","288.86","294.89","292.87","291.43","291.84","290.93","293.21","296.19","300.35","299.89","308.16","304.47","288.27","305.56","307.91","307.82","305.74","305.37","311.58","304.27","315.12","311.69","312.84","311.94","326.05","319.15","316.06","318.69","321.19","334.25","329.91","331.29","335.13","344.57","345.04","349.62","347.54","346.19","352.26","355.43","342.12","345.28","356.77","366.99","352.07","361.15","366.35","387.29","391.67","389.15","396.80","400.22","404.83","360.91","385.93","383.12","386.80","408.67","415.81","190.93","3.02","5.87"
" Japanese Visitor Arrivals  (Thous)","110.62","107.75","106.13","98.24","103.71","100.10","98.87","104.16","110.96","107.12","87.69","95.51","93.17","101.36","105.53","108.63","110.85","105.34","106.85","108.79","116.62","116.54","115.23","121.32","122.58","123.21","125.92","128.07","121.59","122.06","127.57","124.95","123.98","127.51","128.62","125.19","125.12","124.24","123.07","132.33","123.48","131.78","124.66","128.53","125.89","128.44","128.65","123.23","123.08","127.85","124.91","124.50","127.59","127.80","125.89","123.91","121.64","119.15","121.43","121.81","128.77","121.51","126.56","121.18","126.20","125.10","122.37","126.59","125.70","121.86","118.97","125.65","125.38","122.68","119.98","122.15","123.17","127.07","130.75","124.62","126.16","130.96","129.18","127.96","126.81","126.38","129.51","133.15","128.07","123.88","122.38","120.91","127.95","130.29","133.67","136.93","132.36","133.05","133.69","127.92","124.16","127.92","132.54","130.82","128.97","126.15","128.49","144.33","125.05","128.65","120.95","123.97","130.13","126.60","125.71","136.80","138.37","124.90","42.94","0.02","0.02"
" Canadian Visitor Arrivals  (Thous)","31.58","32.95","33.09","34.81","35.22","36.84","38.24","37.35","37.49","37.93","44.79","39.66","35.94","37.92","39.68","40.26","40.56","41.00","39.89","42.44","41.01","42.17","47.83","40.01","36.24","39.60","40.67","41.07","41.28","41.13","43.43","44.71","43.33","43.60","48.86","38.31","41.45","42.64","42.81","42.82","42.19","43.35","43.92","43.73","45.28","45.09","47.49","44.48","44.90","41.95","40.95","40.65","41.92","42.50","42.86","44.69","45.47","43.60","49.00","40.19","42.76","43.20","42.98","42.52","42.17","41.92","39.72","38.80","37.30","37.19","37.22","35.30","38.42","41.69","41.39","41.57","40.78","40.41","39.07","38.98","40.29","41.26","41.03","42.93","43.20","43.65","43.39","44.40","44.68","43.44","46.00","45.78","45.35","44.61","46.01","46.25","44.67","43.77","44.05","43.10","43.51","43.72","45.02","43.81","44.71","46.10","46.91","50.37","44.18","44.35","43.79","44.02","44.11","45.24","42.23","39.26","42.29","43.90","15.55","0.01","0.03"

 Visitor Industry: Visitor Arrival Table 
