"year","month","Arts_Entertainment_Recreation","Accommodation","FoodServices_DrinkingPlaces"
"1990.0","FEB","700.0","3900.0","2700.0"
"1990.0","MAR","700.0","3700.0","2800.0"
"1990.0","APR","700.0","3700.0","2700.0"
"1990.0","MAY","800.0","3500.0","2700.0"
"1990.0","JUN","800.0","3400.0","2800.0"
"1990.0","JUL","800.0","3400.0","2600.0"
"1990.0","AUG","900.0","3500.0","2700.0"
"1990.0","SEP","900.0","3400.0","2600.0"
"1990.0","OCT","900.0","3800.0","2800.0"
"1990.0","NOV","900.0","4400.0","2700.0"
"1990.0","DEC","900.0","4500.0","2800.0"
"1991.0","JAN","900.0","4500.0","2700.0"
"1991.0","FEB","800.0","4400.0","2900.0"
"1991.0","MAR","800.0","4200.0","3000.0"
"1991.0","APR","700.0","4300.0","3000.0"
"1991.0","MAY","700.0","4400.0","3100.0"
"1991.0","JUN","700.0","4400.0","3200.0"
"1991.0","JUL","700.0","4400.0","3300.0"
"1991.0","AUG","800.0","4400.0","3200.0"
"1991.0","SEP","800.0","4400.0","3100.0"
"1991.0","OCT","800.0","4300.0","3100.0"
"1991.0","NOV","800.0","4200.0","3000.0"
"1991.0","DEC","800.0","4300.0","3000.0"
"1992.0","JAN","900.0","4800.0","3100.0"
"1992.0","FEB","900.0","4700.0","3100.0"
"1992.0","MAR","900.0","4600.0","3100.0"
"1992.0","APR","900.0","4600.0","3100.0"
"1992.0","MAY","900.0","4500.0","3100.0"
"1992.0","JUN","900.0","4400.0","3100.0"
"1992.0","JUL","900.0","4400.0","3000.0"
"1992.0","AUG","1000.0","4500.0","3000.0"
"1992.0","SEP","900.0","4400.0","2800.0"
"1992.0","OCT","600.0","3000.0","1500.0"
"1992.0","NOV","500.0","2800.0","1600.0"
"1992.0","DEC","500.0","2800.0","1800.0"
"1993.0","JAN","600.0","2000.0","1700.0"
"1993.0","FEB","600.0","1800.0","1800.0"
"1993.0","MAR","600.0","1800.0","1900.0"
"1993.0","APR","700.0","1900.0","1800.0"
"1993.0","MAY","700.0","2000.0","1900.0"
"1993.0","JUN","700.0","1900.0","1900.0"
"1993.0","JUL","700.0","2000.0","1900.0"
